Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
4,4,11,36.36,0,0,Scotland,Harare,03/21/2018,Shimron Hetmyer,2018,2018
38,38,51,74.5,3,0,Afghanistan,Harare,03/25/2018,Shimron Hetmyer,2018,2018
52,52,78,66.66,5,0,Bangladesh,Providence,07/22/2018,Shimron Hetmyer,2018,2018
125,125,93,134.4,3,7,Bangladesh,Providence,07/25/2018,Shimron Hetmyer,2018,2018
30,30,42,71.42,2,0,Bangladesh,Basseterre,07/28/2018,Shimron Hetmyer,2018,2018
106,106,78,135.89,6,6,India,Guwahati,10/21/2018,Shimron Hetmyer,2018,2018
94,94,64,146.87,4,7,India,Visakhapatnam,10/24/2018,Shimron Hetmyer,2018,2018
37,37,21,176.19,2,3,India,Pune,10/27/2018,Shimron Hetmyer,2018,2018
13,13,11,118.18,2,0,India,Mumbai (BS),10/29/2018,Shimron Hetmyer,2018,2018
9,9,11,81.81,1,0,India,Thiruvananthapuram,11/01/2018,Shimron Hetmyer,2018,2018
6,6,13,46.15,0,0,Bangladesh,Dhaka,12/09/2018,Shimron Hetmyer,2018,2018
14,14,10,140.0,0,1,Bangladesh,Dhaka,12/11/2018,Shimron Hetmyer,2018,2018
0,0,6,0.0,0,0,Bangladesh,Sylhet,12/14/2018,Shimron Hetmyer,2018,2018
20,20,15,133.33,2,1,England,Bridgetown,02/20/2019,Shimron Hetmyer,2019,2019
104*,104,83,125.3,7,4,England,Bridgetown,02/22/2019,Shimron Hetmyer,2019,2019
6,6,2,300.0,0,1,England,St George's,02/27/2019,Shimron Hetmyer,2019,2019
11*,11,6,183.33,2,0,England,Gros Islet,03/02/2019,Shimron Hetmyer,2019,2019
2,2,6,33.33,0,0,South Africa,Bridgetown,06/24/2016,Shannon Gabriel,2016,2016
1*,1,1,100.0,0,0,Australia,Bridgetown,06/26/2016,Shannon Gabriel,2016,2016
2,2,8,25.0,0,0,Pakistan,Sharjah,09/30/2016,Shannon Gabriel,2016,2016
1*,1,3,33.33,0,0,Pakistan,Abu Dhabi,10/05/2016,Shannon Gabriel,2016,2016
0,0,2,0.0,0,0,Sri Lanka,Harare,11/16/2016,Shannon Gabriel,2016,2016
0*,0,0,0.0,0,0,Sri Lanka,Bulawayo,11/23/2016,Shannon Gabriel,2016,2016
0,0,4,0.0,0,0,England,North Sound,03/03/2017,Shannon Gabriel,2017,2017
1,1,2,50.0,0,0,England,North Sound,03/05/2017,Shannon Gabriel,2017,2017
